"", "Provincia","Estadillo","Sp","RGR","B_IFN2","B_IFN3","BP","AB3_Mgha_perc","geometry1","geometry2"
"127","Granada","1216","Pinus pinaster",36.5179861432534,17.6488173072181,28.383942156365,0.894593737428909,100,c(-3.53913528134027, 37.0084896962116)
"128","Granada","1219","Pinus sylvestris",63.9281683016506,30.5714389852414,65.2518538982882,2.89003457608723,100,c(-3.21463025209016, 37.1635020839072)
"129","Granada","1220","Pinus sylvestris",24.5462202258295,76.7028023914713,102.284251756361,2.13178744707413,63.9325820957679,c(-3.203163654671, 37.1632248287437)
"130","Granada","1223","Pinus nigra",82.86629690063,6.7030893817017,18.126756316769,0.95197224458894,73.0024280912282,c(-3.20316239534203, 37.1543368569434)
"131","Granada","1228","Pinus sylvestris",79.8050504579164,35.1488999694519,95.8063277380263,5.0547856473812,100,c(-3.21429743378708, 37.1453481331995)
"132","Granada","1229","Pinus pinaster",31.532901861069,55.9192020009637,80.5165106872446,2.04977572385674,64.5502625779127,c(-3.19151809566358, 37.1455493839934)
"133","Granada","1236","Pinus sylvestris",39.94606379518,71.8811486400886,117.261351977187,3.78168361142482,78.2565281595221,c(-3.20294505486075, 37.13621870144)
"134","Granada","1237","Pinus sylvestris",40.4453959951755,52.6069759879614,88.537822741735,2.99423722948113,62.0406495936075,c(-3.19088468741998, 37.1354635136958)
"135","Granada","1238","Pinus sylvestris",90.9920037922625,2.85092972024519,8.49560698175697,0.470389771792649,100,c(-3.439768656543, 37.1266436517475)
"136","Granada","1244","Pinus pinaster",21.2570488318331,97.0421159865099,126.344596795384,2.44187340073953,98.1649591617686,c(-3.51881390924656, 37.117607398098)
"137","Granada","1245","Pinus pinaster",43.1502168563588,5.64535384627843,9.42112935305981,0.314647958898449,100,c(-3.50743348400505, 37.1175484827367)
"138","Granada","1247","Quercus ilex",25.1906389619969,32.8519633305198,47.8237071755828,1.24764532042192,100,c(-3.48490816092778, 37.1172911988958)
"139","Granada","1249","Pinus pinaster",74.6686963713006,36.6043259013246,88.474642264204,4.32252636357328,95.663906457788,c(-3.46210488837181, 37.1175805827449)
"140","Granada","1252","Quercus pyrenaica",11.7450437224493,165.459876049274,194.217865794812,2.39649914546149,100,c(-3.34872260892358, 37.1180133621531)
"141","Granada","1253","Quercus ilex",13.2258852842742,95.6051055141766,111.364552724686,1.31328726754249,72.7488480207314,c(-3.33778378754842, 37.1185408133304)
"142","Granada","1254","Pinus sylvestris",66.3385468333713,2.68963730437376,5.96237514191488,0.272728153128426,100,c(-3.19198885268092, 37.1179470954962)
"143","Granada","1260","Pinus sylvestris",54.8232499425177,22.5261893515608,42.9024552580889,1.69802215887735,69.930279647188,c(-3.50709374525182, 37.100359920209)
"144","Granada","1263","Quercus pyrenaica",41.1770523928052,3.89955156054875,6.39160998675668,0.207671535517327,100,c(-3.43941270891905, 37.1001162273181)
"145","Granada","1268","Pinus pinaster",47.2512592071583,6.17697547652926,10.8594275385111,0.39020433849849,100,c(-3.51921571605846, 37.0907253860643)
"146","Granada","1269","Pinus pinaster",18.5235803504265,48.0614064997881,56.132591439208,0.672598744951658,100,c(-3.5073313540185, 37.0904252695251)
"147","Granada","1270","Pinus pinaster",28.5705115254632,60.8322294679915,73.3337687721523,1.78593418630869,100,c(-3.49551728265537, 37.090538321098)
"148","Granada","1271","Pinus pinaster",42.7634964432553,18.6562900417749,28.3936480255575,0.811446498648549,100,c(-3.48498588474788, 37.0906449571126)
